Utterance,Intent,Category 1,Category 2,Category 3
密码器好久没用，没电了,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
输入您的提示答案 （即您现有的第一密码[若您尚未设定提示问题及答案]）   这是指指密码吗？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示答案忘记了,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
问题答案忘记了,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
您好，我的保安密码器出现了问题,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
输入开启密码后屏幕没反应，也就是没有显示HSBC的字样,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
屏幕一直显示的输入开启密码的PIN界面,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
保安编码器锁住了,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
你好！我现在在电脑上登陆，先后用“不用保安密码器”和“使用保安密码器”，怎么都不成功？,如何登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
重新再手机申请Security code？,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
我忘记网上银行密码及提示问题，现在正在操作重新设置，但是一直未能成功。不知道是什么原因,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
选择提示问题，建立新的密码以及设定保安问题，我都有填写，而且格式正确，但是一直不能成功,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
他提示我这个：你已达到尝试输入保安编码的次数上限，您的保安编码已被锁定。 (VTS_0002),连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
请问保安编码器的密码如何更改,如何更改我的实体保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
应该说保安编码器的密码忘记了怎么办,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
我在重新输入新的安全认证资料，提示密码有一个大写的字母就可以了吧？,设定个人网上理财提示问题及答案有什么要求,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我的保安编码器出现问题,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
你好，前几天在网上操作时，密码输入错误，造成被锁定,我的个人网上理财被锁定，应该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我的security device 还没有收到,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
密码器不出密码，出“botton",保安编码器屏幕上显示“Button”是什么意思,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
流动保安密码未激活,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
第二密码是流动保安密码吗？,我现有的密码可以登录全新个人网上理财页面吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Features
但系统总是说不对，我的保安密码器收到后就直接建立密码了,如何激活实体保安编码器,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
你好，我没收到保安编码器,我没有收到保安编码器，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
点解要我输入您的提示答案,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
注册网上理财，,如何注册个人网上理财,Personal Internet Banking (PIB),PIB Registration,PIB Registration_Step
You are logging on as: WANGBAO***. Enter your memorable answer (Same as your existing first password if you have not set up your memorable question and answer.),什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
你提示一下第二密码是指什么内容？,我现有的密码可以登录全新个人网上理财页面吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Features
你好，我的网上理财输入保安编码一直错误,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
导致我的网上理财被锁,新设定的个人网上理财登录信息何时生效,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
如何提取流动保安密码？上面打错字了,如何通过流动保安编码获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Security Code
启用新的保安编码器时，我预留手机号是内地的，收不到短信。,我无法收到实体保安编码器启动编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
开启保安编码器试了密码忘记了，一直显示fair1,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
是啊，第一密码不记得了，用保安器进入不行吗,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
你好，我的保安编码器怎么进不去了,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
密码器不显示什么问题，是不是没电了,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
你好，添加受款人，因为密码输入错误，被锁定,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
收到卡和密码之后，填写了一个回执，寄到了总行。然后收到邮件，要求我注册网上银行。,如何注册个人网上理财,Personal Internet Banking (PIB),PIB Registration,PIB Registration_Step
我在网上理财做转账处理，提示我保安编码器被锁定,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我登录的时候要重新设轩提示问题及答案,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
是的，忘记了保安问题答案,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
你好，我忘记我的网上理财用户名  可以怎么找回？,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
保安编码器能寄？,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的保安密码器出现：lock pin 和7位数字，怎么解除？,如何重置我的实体保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Password
保安编码器开机密码可以输入几次？,如何重置我的实体保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Password
怎么更换新的保安编码器,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
出来的码，输入了三次，导致交易被锁,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
新手机下载hsbc移动端，登陆一直提示服务过期,当我收到「您的流动理财已过期。请重新登录。」的消息时，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Switch
说明保安编码没问题，为何手机登陆移动端一直提示服务过期？,当我收到「您的流动理财已过期。请重新登录。」的消息时，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Switch
"请问使用保安密码器时, 交易密码是我留存的密码? 还是密码器显示的?",我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
我要激活保安编码器，输入保安编码器序列号的时候，后面没有出现绿色的对勾,如何找到保安编码器序列号,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
可以确定的是启动编码和保安编码两项是输入正确的，而且也有绿色对号显示  ，，只有保安编码器序列号后面没有显示绿色对号，，，,如何找到保安编码器序列号,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
因为登陆网上理财时错了好几次密码。现在不能登陆网站。,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
你已達到嘗試輸入保安編碼的次數上限，您的保安編碼已被鎖定。(VTS_0002),连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
你好！我手上有个保安密码器，我如何启动？,收到实体保安编码器之后，我需要做什么,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
我按照贵行客户经理的电邮instruction，登录我的账户后，做了变更。问题是，在填表完毕的最后一个Page，要求我输入编码器的安全密码，我输入了好多次，都告诉我错误，我不知道问题在什么地方,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
密码器输入总是提示错误，操作过程完全正确,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的保安编码器可以再寄给我一只吗,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
注册网上理财也要柜员机密码,如何注册个人网上理财,Personal Internet Banking (PIB),PIB Registration,PIB Registration_Step
我在更换新的编码器，可是收不到短信,我无法收到实体保安编码器启动编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
因为我没有保安密码器，不能进行转账吧,登录个人网上理财的2种方式是什么,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
忘记了新保安编码器的开启密码，三次输错后，密码器显示Lock Pin,保安编码器屏幕上显示的LOCK PIN FAIL 3（或以上） 是什么意思,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
你好，我在登陆时，要我的保安编码器，可是当时银行没给我呀,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
怎么才能收到“保安编码器”？,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我把保安器密码和安保问题输入错误后保安器不能用了,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
保安密码器不显示,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
你好，保安编码器密码记不清楚的话，可以尝试几次，才会被“锁死”？,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
保安编码器不显示了,我的实体保安编码器无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我按照手机APP提示的保安编码输入电脑，为什么老是显示错误,如何通过流动保安编码获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Security Code
登陆的密码也是会在密码器上显示？,什么是个人网上理财密码,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Second Password_Features
登陆网上理财，可以选择“使用保安编码器”和“不使用保安编码器”吗？,我可以设置两种个人网上理财登录方式吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我现在的保安编码器过期后，我如何理财？,如果我的保安编码器过了30天还未有激活，会过期吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Features
未收到保安编码器如何操作登陆网银,如何在不使用保安编码器或流动保安编码的情况下，登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
保安密码器没有显示,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
因为账户不常用，问题答案也忘记了。。,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我在登陆网上理财，输入银行卡号，但现实用户名错误,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我想下载保安密码生成器的,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
提示答案就是设定的第一密码，但是我没有保安编码,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我的网上以后不能登录了v说提示答不对  还有保安编码,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
最后一步说如欲确认启动您新的保安编码器，您将需要输入从现有流动保安编码器生成的保安编码是什么意思,我可以通过电话理财将流动保安编码更换为实体保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Soft Token_Switch
您好，保安编码器最近老是不能够正常开启，导致登录不了网银，是什么问题呢？,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
我找不到位的个人网上理财用户名了,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
选的是保安编码器登陆试过多次都体质输入的资料不正确,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
我换了一部手机，在新手机上登录 hsbc app 时，输入密码，提示您 的流动理财服务期限已过,当我收到「您的流动理财已过期。请重新登录。」的消息时，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Switch
保安问题我也不记得了,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
输入您的提示答案 （即您现有的第一密码[若您尚未设定提示问题及答案]） 详情emorable answer / 提示答案:is required  记了您的提示答案？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
你好，我密码器，总是提示密码错误,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
Memorable answer / 提示答案:s required,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
输入您的提示答案 （即您现有的第一密码[若您尚未设定提示问题及答案]） 详情,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
忘记提示答案，锁卡,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
"hi, 我的保安编码器打开后密码输错了",如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
你好，我登录后没办法输入保安密码，我记得当时应该是没有保安密码器,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
可以重新设置流动保安编码么？ 因为密码提示问题答案也不记得了,我忘记了我的保安问题答案，如何重置流动保安编码的密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Password
我的保安编码器在开机后误按密码，密码错误后，开机显示LOCK PIN 和一个七位数,如何重置我的实体保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Password
我记得设置的开机密码，请问如何“透过网上理财重设保安编码器开机密码的”,如何更改我的实体保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
要提示答案,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
可是我进不去网上理财啊,如何登录个人网上理财,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
下午好，我的保安编码器没电了，请问怎么办呢？,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
我忘记了保安问题,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
没有提示问题,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
提示答案,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
输入用户名后没有找到「使用保安编码器/流动保安编码」模式后，下方按「忘记保安编码器密码」,如何重置我的实体保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Password
1. 输入您的提示答案 （即您现有的第一密码[若您尚未设定提示问题及答案]） 详情,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
登入没有使用保安编码器， 进入环球转账的时候提示编码器的密码错,我想登录个人网上理财，该如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我登录个人账户要保安编码器保安编码器哪里拿呢,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
第一个保安问题，我都不记得设立过,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
我想重新设定安全编码器的密码，开始系统出现这样的提示。,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
提示问题,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
没找到在选择「使用保安编码器/流动保安编码」模式后，下方按「忘记保安编码器密码」,如何重置我的实体保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Password
要输入提示答案,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
没有什么提示答案啊？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
申请保安编码器有流动保安编码和保安编码器两种吗？,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
因为我的重置密码信息中的几个提示答案也都不记得了,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
你好，提示答案我不记得之前设置过,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
我的security key 没电了,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
"激活保安编码器不成功, 显示重新输入序列号, 保安密码",收到实体保安编码器之后，我需要做什么,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PIB_Hard Token_Activation
如何获取保安编码器初始密码？,如何设定保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
您已达到输入安全详细信息的最大允许尝试次数，为了安全起见，您的网上理财已被锁定。请立刻与我们联系为您的汇丰流动理财解锁,我忘记了我的保安问题答案，如何重置流动保安编码的密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Password
你好， 我想用手机网上银行，不想再用保安密码器了,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
之前用保安密码器转账，输入错误，被锁定了,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我想完全取消保安密码器用手机app,如何激活流动保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Application
提示答案，我现在不清楚提示答案是否正确,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
有些功能 如更改个人资料是要求必须有流动保安密码的 对吗,登录个人网上理财的2种方式是什么,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
所以我想问你   流动保安密码 如何生成,如何通过流动保安编码获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Soft Token_Security Code
您好，我忘记移动保安编码 和提示问题答案,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
如果我的保安编码器的密码不记得了怎么办,如何重置保安编码器密码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
个人用户收到了新的保安编码器，旧的保安编码器没电了，如何开始使用新的？,如何通过电话理财激活保安编码器,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Activation
同时，我的密码器密码错了两次，怎么办呢,如何解决有关保安编码器密码的问题,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Password
输入保安编码后，提示：要输入提示答案，我不知提示答案：是输入原来设置的进入账户密码还是什么？,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
你好，我输入保安编码器密码提示VST001,连续输入错误的保安编码导致服务被暂停使用，我应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
更换新的保安编码器？,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
我忘记了网上理财的用户名怎么办,我忘记了个人网上理财用户名，该怎么办,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
我忘记了我的个人登录提示问题,如果忘记了登录信息，我可以在线重置吗,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Online Password_Reset
那两天保安问题也忘记了,如何重置所有个人网上理财的登录信息,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS Offline Password_Reset
你已达到尝试输入保安编码的次数上限，您的保安编码已被锁定。,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
另外保安密码器有启动吗？,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
目前我的保安密码器仍然不能启动,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
保安密码器也没有启动,如何激活保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Activation
我下个月来香港，需要更换保安密码器吗/,我需要使用个人网上理财，如何申请保安设备,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Application
是这样的，我是转账时要求输入保安密码时报错,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
转账是最后步骤，要求输入保安编码是出错,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
对的，是客人的账号最后8位，然后出现6位保安密码，输入在最后的校验密码框内，但提示我保安密码错误,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
保安编码器没电了，怎么办,我可以通过电话申请保安编码器吗,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Replacement
转账页面有提示我需要输入保安编码器的数字,我需要完成交易，应该如何获取交易安全码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Security code
保安编码器开启后显示不对,我的保安设备无法使用，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Others
输入流动保安密码后，还要提示答案和密码？,登录个人网上理财的2种方式是什么,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS_Others
您好 我的保安编码器被锁定了,我的保安编码器被锁了，应该怎么办,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我申请了新的保安编码器，但是旧的完全没电了，所以在网页上无法启用新的保安编码器,如何通过电话理财激活保安编码器,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),PBS_Hard Token_Activation
I tried...但系上面操作之后就提示我“保安编码不正确",如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
刚才咨询了网上银行转账，按保安编码器输入密码，报错问题，仍未解决,如何获取保安编码,Personal Internet Banking (PIB),Hard Token or Soft token (MSK),Hard Token_Security Code
我的几个答案是记在本子上的，不知道为什么被拒绝。无法理解“Memorable Answer/提示答案”是什么意思,什么是提示答案,Personal Internet Banking (PIB),PIB Logon (SaaS),SaaS First Password_Features
